review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
1297056131,4,3.5,4,Keffa,English Bitter,4,4,Honker's Ale,4.2,1157
1143162981,4,4,4,Bigjay1584,American Double / Imperial IPA,4.5,4.5,XS Imperial India Pale Ale,9.5,358
1311398401,4,4,4,nataku00,Belgian Strong Dark Ale,4,4,Nectarine Grizz (French Oak),9.7,63604
1285761149,4,4,4.5,Gavage,Bière de Garde,4,3.5,Schlafly Bière De Garde,7.5,39397
1249785680,4,3.5,4,northyorksammy,American Black Ale,3.5,3.5,Herb Superb Black IPA,6,44958
1244257022,4,3,3.5,pokesbeerdude,American Blonde Ale,4,3.5,True Blonde Ale,5.3,3041
1323149376,2.5,3,2.5,harrymel,American Porter,2.5,2.5,Pipeline Porter,5.4,33183
1296848753,4,4,4,tehzachatak,American IPA,4.5,4,Stowaway I.P.A,6.9,65842
1324609177,4,4,3.5,thecheapies,American Stout,3.5,4,Diesel,6.3,23452
1211348087,4,5,5,roan22,American Amber / Red Ale,5,4,Green Flash Hop Head Red Ale,7,35732
1317536098,4,4.5,4,draheim,Rauchbier,4,4,Aecht Schlenkerla Rauchbier Märzen,5.4,727
1172615956,3,4,4.5,InDreams,Baltic Porter,4,4,Gonzo Imperial Porter,9.2,24071
1238265851,5,4,4,SaCkErZ9,American Pale Ale (APA),4.5,4,Bourbon Barrel Aged Big Bolt Pale Ale,,48794
1295267513,4.5,4.5,4,thagr81us,American Black Ale,4.5,4.5,Or,11.2,63423
1255991281,4,4,4,thebeerdoctor,Old Ale,3,5,Old Jubilation,8.3,3295
1259806516,4.5,5,4.5,bonsreeb85,Old Ale,5,5,Founders Curmudgeon (Old Ale),9.8,24905
1246401874,3.5,3,4,tone77,American Pale Wheat Ale,4,3.5,Golden Leaf Wheat,,44902
1170294998,4.5,4.5,4,alexgash,American Wild Ale,4.5,4,"Luciérnaga, The Firefly - Grand Reserve",7,28335
1121481158,2.5,1.5,2,Bierbauch,German Pilsener,1.5,2,Bohemia,5.3,1283
1294947178,5,4.5,5,Hopstamon,American Blonde Ale,4,4.5,Knockout Blonde,6.1,54052
1111722805,4,4.5,4,trancefishy,Fruit / Vegetable Beer,4,4,Frambozenbier,4,2467
1224382548,1,4,4,cjgator3,American Wild Ale,3.5,2,Avery Anniversary Ale - Fifteen,7.68,42353
1310267636,2.5,2.5,4,WoodBrew,Kölsch,2.5,2.5,Ly-Co-Ki-We,,33030
1061302332,3.5,4,4,ImperialScott,Eisbock,3,3,Schneider Aventinus Weizen-Eisbock,12,1934
1165302519,3.5,3.5,4,ElGordo,Saison / Farmhouse Ale,3,3.5,Saison Voisin,5,9077
1237233633,4,5,4,jimj21,Lambic - Fruit,4.5,4,Lindemans Framboise,2.5,599
1188946523,4,3.5,4,drpimento,Märzen / Oktoberfest,4,4,Summit Oktoberfest Marzen,7.4,1785
1174011954,4,4,4,oakbluff,Belgian Strong Pale Ale,4,4,Matilda,7,4318
1289601893,4,3.5,4,Chico1985,American Amber / Red Ale,4,3.5,Fall Summit,5.6,61750
1156305529,3.5,4,4,blackie,American Brown Ale,4.5,3.5,He'Brew Messiah Bold,5.6,12694
1269901233,4.5,4.5,4,callmemickey,American Double / Imperial Stout,4.5,5,AleSmith Speedway Stout - Barrel Aged,12,31484
1268786355,4,4,4,ccrida,American Amber / Red Ale,4,4,Red Wiggler,6,56851
1253153709,4.5,3.5,4,alleykatking,Kölsch,4,4,Summertime,5,1171
1323871169,4.5,3,3,40n75w,Old Ale,5,4.5,Idiot's Drool,12,73862
1310344736,3.5,3.5,4,mikesgroove,American Double / Imperial IPA,3.5,3.5,Unplugged Imperial IPA,9,24073
1269427921,4.5,4.5,3.5,DIM,Saison / Farmhouse Ale,4.5,4.5,Baudelaire Ale Absurd,8.3,53704
1235621553,3.5,4.5,3,prosper,Belgian Strong Dark Ale,3.5,4,Unibroue 17,10,40968
1279460474,4.5,4,4,BeerForMuscle,Doppelbock,4.5,4.5,Weihenstephaner Korbinian,7.4,779
1247431490,3,3,3,jjayjaye,Belgian Dark Ale,3,3.5,Black Orchard,5.7,42587
1133743820,3,3.5,5,GClarkage,Belgian Strong Pale Ale,3.5,3,Saxo,8,2585
1246987701,4,3,4,oldpinecone,American Brown Ale,4,4.5,Kick-Ass Brown,5,4541
1312774254,4,4,4.5,ferrari29,American Blonde Ale,3,3.5,Hoptober Golden Ale,6,51991
1273690631,4.5,3.5,3.5,Beerandraiderfan,American IPA,4,4,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,6.7,42533
1311039874,4,3.5,4,kawilliams81,Belgian Strong Pale Ale,4,3.5,Founders Blushing Monk,9.2,25852
1144267629,2.5,4,4,thaichile,American Double / Imperial IPA,3,2.5,YuleSmith (Summer),8.5,7284
1198985017,4,4,4.5,Riggsy,Doppelbock,4,4.5,Doppelbock,10.2,48442
1285975812,4.5,3.5,4,JoePat,Märzen / Oktoberfest,4.5,4,Harpoon Octoberfest Beer,5.5,313
1270785731,4,4,3.5,DoubleJ,American Porter,3.5,3.5,Black Strap Porter,5.6,56592
1266123282,3.5,3.5,3.5,RedDiamond,American Porter,3,4,Double Chocolate Porter,6.2,53552
1174020673,4.5,4,4.5,BeerSox,Quadrupel (Quad),4,4,Three Philosophers Belgian Style Blend (Quadrupel),9.8,3457
1300499041,4.5,4.5,4.5,Mitchster,American Brown Ale,4.5,4.5,Moose Drool Brown Ale,5.1,2296
1189363077,3.5,4,4,TurdFurgison,Belgian Strong Dark Ale,4,4,Hitachino Nest Extra High (XH),8,7728
1280106209,3.5,3.5,3.5,DerekP,Schwarzbier,3.5,4,Samuel Adams Black Lager,4.9,21300
899769601,3.5,3,3,BeerAdvocate,German Pilsener,3,3,Peter's Brand Pilsner Beer,5,29
1238719580,3,4.5,4,Buebie,American Black Ale,4,3,Iniquity (Imperial Black Ale),9,47228
1190352025,3.5,4,4.5,mrasskicktastic,American IPA,2.5,3.5,Southampton IPA,6.5,8312
1137733285,3.5,4,3.5,shiftypenguin,Irish Red Ale,4,3.5,Great Lakes Conway's Irish Ale,6.5,5096
1181936869,4,3.5,3.5,Kendo,American Pale Wheat Ale,4,3.5,Saranac Summer Ale,4.7,23155
1232134054,4,2.5,3,Only23,Light Lager,2,3.5,Amstel Light,3.5,436
1174264850,4.5,3.5,5,woodychandler,English Barleywine,4.5,4,Ridge Runner,7.5,5336
1306692718,4,4,4,ForWhatAlesYou,American Amber / Red Ale,3.5,4,Fat Tire Amber Ale,5.2,607
1152542320,5,3.5,3.5,wcudwight,American Double / Imperial Pilsner,5,4.5,Terrapin All American Imperial Pilsner,7.5,22043
1307471968,4,4,4,sholland119,American Double / Imperial IPA,4,4,Hop Rising Double IPA,9,52433
1216567334,4.5,4.5,4.5,gfreed,Hefeweizen,4,4.5,Ayinger Bräu Weisse,5.1,132
1277946230,4,3,4.5,vishneda,Weizenbock,4,4,Schneider Aventinus,8.2,224
1256005115,4,4.5,4,BEERchitect,American IPA,4,4,Founders Harvest Ale,6.5,20478
1294288876,3,3.5,3,heavy216,Fruit / Vegetable Beer,3.5,4,Tangerine Wheat,5,31931
1175355502,5,4,4,smcyrone,American Amber / Red Ale,4,4.5,Chautauqua Brew,4.7,35968
1063504727,4.5,3,4,far333,American Strong Ale,4.5,4,Gold Stock Ale,6.5,934
1154706045,4,3.5,4,bashiba,American Porter,4.5,4,Old Clybourn Porter,5.5,4317
1293149850,3,2.5,3.5,LilBeerDoctor,Dortmunder / Export Lager,3,2.5,Bungtown Export Lager,5.25,33370
1108181420,5,4.5,5,rajendra82,American Double / Imperial Stout,5,5,Founders Breakfast Stout,8.3,11757
1259642148,3.5,4,4,Errto,American Barleywine,3,4.5,Vermonster,10,38776
1276376982,4,4,4,rtepiak,Baltic Porter,4,4,Harpoon Leviathan - Baltic Porter,9.5,45934
1282596056,4.5,2.5,4.5,jazer,Schwarzbier,4,4,Samuel Adams Black Lager,4.9,21300
1248755574,2,3,3,ZAP,Saison / Farmhouse Ale,2,2,Farm Girl Saison,6,46562
1044292579,4.5,3.5,3.5,stegmakk,American Amber / Red Ale,4,4.5,Santa's Private Reserve Ale,6,1173
1270947181,4.5,4,4.5,ne0m00re,American Pale Wheat Ale,4.5,4,Bell's Oberon Ale,5.8,1094
1240960832,3.5,3,3.5,duffextracold,Oatmeal Stout,3.5,3.5,Schlafly Oatmeal Stout,5.7,4874
1294802183,4.5,4.5,4,BrewmasterNate,American Double / Imperial Stout,4.5,4.5,Founders Breakfast Stout,8.3,11757
1284694179,3.5,3.5,3,joemcgrath27,American Blonde Ale,3,3.5,Griffon Extra Blonde,5,2705
1018425397,4.5,4,4.5,jreitman,American Blonde Ale,4,4,Hale's Drawbridge Blonde,4.9,2983
1198094910,4,4,4,AlexJ,American Double / Imperial Stout,5,4,Bell's Java Stout,7.5,2010
1145281991,4,3,3.5,wcudwight,Oatmeal Stout,3,4.5,Tröegs Oatmeal Stout,7,4094
1134241934,3,3.5,3.5,paterlodie,Belgian Strong Dark Ale,3,3,Ultra De Noël,8.5,9072
1228203717,5,5,5,corby112,Dubbel,5,5,Lost & Found Abbey Ale,8,31656
1196164772,4,4.5,4.5,DIM,Old Ale,3,3.5,Winter Warmer,8.9,14053
1282620355,2,1.5,3,aasher,Märzen / Oktoberfest,4,1.5,Bell's Octoberfest Beer,5.5,32695
1203374569,4,4.5,4.5,IBUnit63,American Strong Ale,5,4.5,Double Bastard Ale,10.5,1056
1297994621,4,4,4,StaveHooks,Munich Dunkel Lager,3.5,4,Ayinger Altbairisch Dunkel,5,134
1218939444,3,3.5,3.5,Zorro,Herbed / Spiced Beer,3.5,4,Coney Island Albino Python,6,43120
1243745196,3.5,3.5,4,coldmeat23,American Stout,3.5,4,Bell's Kalamazoo Stout,6,1117
1323225816,4.5,5,4.5,ehammond1,American Double / Imperial Stout,4,4.5,Bourbon County Brand Coffee Stout,13,57747
1247368900,4.5,4,3.5,sleazo,Hefeweizen,4,4,Sierra Nevada Kellerweis Hefeweizen,4.8,48434
1126395275,3,3.5,3.5,Bourre,American Blonde Ale,3.5,3.5,La Cordée,,25782
1306884756,4.5,3.5,4,womencantsail,American IPA,4,3.5,Big Swell IPA,6.8,40628
1270215410,3,2.5,3.5,Cresant,Milk / Sweet Stout,3.5,3,Scratch Beer 27 - 2010 (Cocaoabunga),6.7,56032
1273639270,4,4,4,Haybeerman,Belgian Strong Dark Ale,4.5,4.5,Ommegang Adoration Ale,10,51619
1264448474,5,5,5,Joeynocturnum,American IPA,4.5,4.5,Sculpin India Pale Ale,7,29619
1077677161,4.5,4,4.5,palma,English Pale Ale,4,4,Boddingtons Pub Ale,4.7,1798
1071623989,4,4,4.5,BigPapaLager,Milk / Sweet Stout,3.5,4,Samuel Adams Cream Stout,4.9,1879
1177909060,5,3,3.5,drpimento,American Brown Ale,4.5,4,Moose Drool Brown Ale,5.1,2296
1136175187,3.5,4,3.5,troutmask96,American Porter,3.5,4,Stone Smoked Porter,5.9,90
1178456937,2,2.5,2,gunnerman,American Adjunct Lager,2.5,1,Corona Extra,4.6,232
1230098014,4,4,4,colts9016,American Porter,3.5,4,Polygamy Porter,4,43893
1225079513,4,4,4,srandycarter,American Double / Imperial IPA,4.5,4.5,Hoppe (Imperial Extra Pale Ale),8,36179
1080360627,4,4,5,ImperialScott,American Barleywine,4,4.5,Stone Old Guardian Barley Wine Style Ale 2004,10.06,15617
1193485972,2.5,3.5,2.5,lakeviewmike,Keller Bier / Zwickel Bier,3.5,4,Yokel,4.2,28268
1280361209,4,4.5,4,JunkYardJake,American Double / Imperial Stout,3.5,4,Creme Brulee (Imperial Milk Stout),9.6,43687
1308096101,4,4.5,4.5,jamespub,American Double / Imperial IPA,4.5,4,Founders Double Trouble,9.4,34146
1279349544,3,3,3,biboergosum,American Adjunct Lager,3,2.5,Beer Beer,5,59477
1230897184,4,3.5,3.5,JamesS,Hefeweizen,4,4,Hefeweizen,5,20575
1134863915,3.5,3,4,oberon,American Pale Ale (APA),4,3,Patriot Pale,6,22791
1257115300,4,4,4.5,JoeyBeerBelly,Saison / Farmhouse Ale,4,4.5,Saison VOS,6.9,30965
1234742851,4,4.5,4.5,cagocubs,American Double / Imperial Stout,4.5,4,Founders Breakfast Stout,8.3,11757
1285876107,4,4,4,Beerandraiderfan,American IPA,4,4,Interurban IPA,6.5,55281
1277875641,3,2.5,3,Atricapilla,American Pale Ale (APA),2.5,2.5,Hurricane Reef Pale Ale,5.1,1560
1309993446,3.5,3.5,4,Nugganooch,American Double / Imperial IPA,3.5,3,Dark Horse Double Crooked Tree IPA,13.6,22381
1264484316,3.5,4.5,3.5,bret27,Old Ale,4,4,Founders Curmudgeon (Old Ale),9.8,24905
1262655795,4,4,4,RedHaze,Russian Imperial Stout,4.5,4.5,Black Betty Imperial Stout Reserve Series Aged In Whiskey Barrels,9.3,55229
1140907085,4.5,4,4,Dertbert,American Porter,5,4.5,Stone Smoked Porter,5.9,90
1216587032,4,4,4.5,HersheyRhino,Baltic Porter,4,4.5,Gonzo Imperial Porter,9.2,24071
1218341989,4.5,4.5,4.5,WasTrinkenSie,American Amber / Red Ale,3,4.5,Snowshoe Red Ale,5.7,3239
1238697047,2.5,1.5,3,berserker256,Japanese Rice Lager,2,2,Asahi Super Dry,5,2779
1194795986,4.5,4.5,3.5,Domingo,Lambic - Fruit,3.5,4.5,Drie Fonteinen Oude Kriek,6,6306
1206855027,4,4,5,kbnooshay,Belgian Strong Pale Ale,4.5,4,Southampton Grand Cru,9.5,10301
1271216890,4.5,3.5,4,alleykatking,Scotch Ale / Wee Heavy,4,4,Banshee,7.9,57532
1308922954,4,4,4,david18,Belgian Pale Ale,4,4,Noblesse,5.5,42461
1171761232,3,3.5,3,TheManiacalOne,German Pilsener,3.5,3.5,Saranac Adirondack Lager,5.5,903
1264961832,3.5,4.5,4,cratez,Belgian Strong Pale Ale,4,3.5,It's Alive!,8,43080
1319159584,4,4,3,BeerAndBourbon,Belgian Strong Dark Ale,2.5,3.5,Chimay Grande Réserve (Blue),9,2512
1142348551,4,3.5,4,ybnorml,Russian Imperial Stout,4,4.5,Harpoon Imperial Stout (100 Barrel Series #12),7.7,26409
1310185810,4.5,3,4,tewaris,English Bitter,4.5,3.5,Bitter Brewer,4,36672
1216714615,4.5,4,3.5,Deuane,Smoked Beer,4,4.5,Rauch Bock,,41226
1285530049,3,2.5,3.5,Swedes21,Euro Dark Lager,3,2.5,Faxe Amber,4.6,11961
1119312637,4,4,4,karengarys,Hefeweizen,4,4,Upland Valley Hefe-weizen,6,5185
1205994706,5,4,4.5,RblWthACoz,American Porter,4,4.5,Steam Train Porter,5.3,3361
1193536282,3.5,3.5,4,mikesgroove,American Pale Ale (APA),3.5,3,Harpoon Glacier Harvest Wet Hop Beer (100 Barrel Series #20),6.7,38593
1314798385,3.5,4,3.5,hyprlt,Märzen / Oktoberfest,3.5,4,Great Lakes Oktoberfest,6.5,13896
1307499727,5,4.5,5,mikekeastie,American Black Ale,5,5,Dubhe Imperial Black IPA,9.2,67046
1210365471,3,4,3.5,t0rin0,American Double / Imperial IPA,3,3,2nd Anniversary Double IPA,9.5,42466
1247108507,5,4,3.5,bbeane,Quadrupel (Quad),4,5,Three Philosophers Belgian Style Blend (Quadrupel),9.8,3457
1098827745,3,3.5,2.5,ybnorml,Pumpkin Ale,3,3.5,Sea Dog Pumpkin Ale,5,20205
1222324757,4,3,3.5,czechsaaz,Doppelbock,4,4,"Full Sail ""21"" - Anniversary Doppelbock",8,44750
1294103704,3.5,4,4,mdfb79,American Double / Imperial IPA,4,3.5,Double Dog Double Pale Ale,11.5,35754
1318808157,3.5,4,3.5,bluejacket74,American Brown Ale,4,3.5,Moose Drool Brown Ale,5.1,2296
1228804391,3.5,2.5,3.5,angelmonster,Märzen / Oktoberfest,3.5,3.5,Spaten Oktoberfestbier Ur-Märzen,5.9,582
1296019052,4,4.5,4.5,Duhast500,Belgian Strong Pale Ale,4.5,4.5,Matilda,7,4318
1143191876,4,3,3,bearrunner44,American Brown Ale,3.5,2.5,He'Brew Messiah Bold,5.6,12694
1096846566,4,4.5,4,CRJMellor,Fruit / Vegetable Beer,4.5,4.5,Raspberry Tart,4,1585
1299987713,3.5,4.5,4,SFLpunk,American IPA,4,4,Nelson Sauvin Single Hop IPA,6.9,48458
1296278603,3,4,4.5,brystmar,American Double / Imperial Stout,5,4,Black Tie,11.5,59285
1313416562,4.5,4,4,CampusCrew,American Pale Ale (APA),4.5,4.5,Que¿beck,5.5,69909
1269908975,4.5,4.5,4,MOB210SA,American Double / Imperial IPA,4,4.5,Maharaja,10.3,22352
1227321340,4,3,3,RunDWP,Vienna Lager,3,3.5,Karl Strauss Amber Lager,4.2,5087
1277732154,3,4,4,Spica66,American Black Ale,2,3.5,Bashah,8.6,53388
1286665780,3.5,4,4.5,jsanford,American Double / Imperial IPA,4.5,4,Captain's Reserve Imperial IPA,9,28318
1302385548,4,3.5,4,MP72,Hefeweizen,4,4,Franziskaner Hefe-Weisse,5,1946
1245207231,4.5,4,3.5,everetends,English Pale Mild Ale,4,4,Re-Session Mild Ale,3.9,50382
1226977880,5,4.5,3.5,brdc,American Pale Ale (APA),4,4,Mighty Arrow Pale Ale,6,40418
1264273590,5,5,4.5,AmberMan22,American IPA,4.5,5,Furious,6.2,28203
1295674796,4.5,4,4.5,daveytheformer,American Double / Imperial Pilsner,4.5,4.5,Krampus (Imperial Helles Lager),9,43738
1244952958,4,5,5,MusicmanSD,Russian Imperial Stout,5,5,Stone Imperial Russian Stout,10.5,1160
1175986724,3,3,4,Minkybut,American Amber / Red Ale,3,3,Red Fox Amber Ale,,25749
1208323874,5,5,4.5,TasteTester,American Double / Imperial IPA,4.5,4.5,Big Head San Diego Style Ale,11,42112
1322112018,4,4.5,4,DaveJanssen,Belgian Pale Ale,4,4,Cuvée De Ranke,7,42805
1270163172,3.5,4,4,ksimons,Wheatwine,4,4,Fourteen Ale,11.8,51007
1280024334,4,4,3.5,jrallen34,Flanders Red Ale,3.5,3.5,Ichtegem's Grand Cru,6.5,30358
1246391780,3,3.5,4,Arbitrator,Hefeweizen,4,3.5,Millstone Wheat Beer,4.6,50811
1316483655,4,3.5,4,Lolli1315,Milk / Sweet Stout,4,4,Jason Fields & Kevin Sheppard / Tröegs / Stone Cherry Chocolate Stout,7.3,71405
1316134593,4,3.5,3,UCLABrewN84,Märzen / Oktoberfest,3.5,4,Baltijos,6,31755
1146314577,4,4,4,TurdFurgison,American Strong Ale,4,4.5,Arrogant Bastard Ale,7.2,92
1320675901,3.5,3.5,3,DirtyPenny,Munich Helles Lager,3.5,3.5,Weihenstephaner Original,5.1,712
1267329717,4,4,4,Bung,Baltic Porter,4.5,4.5,Mørke - Pumpernickel Porter,7.5,53250
1153151912,4.5,3,2.5,soultrain,American IPA,3.5,4.5,Mojo IPA,7.2,12322
1293743819,4,3,4,sprucetip,American Stout,3.5,4,Sierra Nevada Stout,5.8,283
1294532210,4,4,4.5,AZbelgian,Belgian Strong Dark Ale,4,4,Nostradamus,9,2319
1198419014,3,3,4,wl0307,Old Ale,3.5,3.5,Norman's Conquest (Cask),5,40204
1246801375,4,3.5,4,bobsy,American Stout,3.5,3.5,Bell's Kalamazoo Stout,6,1117
1315357689,3.5,4,4,JTSbeerislife,Belgian Pale Ale,3,3.5,Leffe Blonde,6.6,2137
1235878601,3,3,3,TheDoorman,American Double / Imperial IPA,3,3,Stoudt's Double IPA (India Pale Ale),10,20470
1230440618,4,4,2.5,echdk3,Scottish Gruit / Ancient Herbed Ale,3,3,Alba Scots Pine Ale,7.5,243
1210110706,4.5,4.5,4,Monkeyknife,American Double / Imperial Pilsner,4.5,4.5,Morimoto Imperial Pilsner,8.8,12690
1205622470,4.5,4,5,srroos,American Double / Imperial Stout,4.5,5,Serpent's Stout,11,37197
1284075442,3,4.5,4.5,vette2006c5r,American Double / Imperial Stout,5,5,30th Anniversary - Fritz And Ken's Ale,9.2,56761
1275282641,4,5,5,hustlesworth,American Black Ale,4.5,4.5,Stone Sublimely Self-Righteous Ale,8.7,38470
1186778192,3,3,3.5,wedge,Fruit / Vegetable Beer,3.5,2,Samuel Adams Cherry Wheat,5.3,108
1299968626,4,4,4.5,mattkoon,American Brown Ale,3.5,3.5,He'Brew Messiah Bold,5.6,12694
1318201835,4,4.5,4,rfgetz,American IPA,4,4.5,Lunch,7,68916
1004040659,2,2,2,LarryWilliams,American Adjunct Lager,3,2,Rolling Rock Extra Pale,4.6,567
1210891506,3.5,4,3.5,SaltyLime,American Amber / Red Ale,3.5,4,American Amber Ale,5.6,363
1256696888,4,4,4,GbVDave,English Porter,4,4,Unplugged Old English Porter,5.5,51761
1187472577,2.5,2.5,3.5,stcules,Belgian Pale Ale,2.5,2.5,Bella Mère,6.5,38254
